id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,minted_market_cap,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,12507,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19968081.0,19968081.0,False,1753299322036.05,,1,,,,2025-12-28T02:34:00.000Z,87805.09864899133,13784503468.942146,-63.9008,0.09651472,0.49698394,-0.18156076,-3.2134954,-22.01425151,-21.5227634,1753299322036.0496,59.0117,1843907071628.82,,2025-12-28T02:34:00.000Z,,,,,,2025-12-27 18:36:10.743006
1027,Ethereum,ETH,ethereum,11311,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sophon-ecosystem']",,120694953.33892769,120694953.33892769,True,355762752947.14,,2,,,,2025-12-28T02:34:00.000Z,2947.6191266101446,7428057358.702399,-53.7467,0.2007532,0.7726921,-0.67086258,-1.81203883,-26.21091582,-28.51250356,355762752947.14215,11.9741,355762752947.14,,2025-12-28T02:34:00.000Z,,,,,,2025-12-27 18:36:10.743006
825,Tether USDt,USDT,tether,164333,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,186826783367.90005,188851514003.4144,True,188748218323.4,,3,,,,2025-12-28T02:34:00.000Z,0.9994530322907085,40818577622.51229,-45.2528,0.02024645,0.02242891,-0.01759341,-0.02985495,-0.07996363,-0.08887763,186724595150.16702,6.2847,188748218323.4,,2025-12-28T02:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-12-27 18:36:10.743006
1839,BNB,BNB,bnb,3028,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",137734740.1,137734740.1,137734740.1,False,115793302525.07,,4,,,,2025-12-28T02:34:00.000Z,840.6978692594433,1513555696.0983293,-6.3866,-0.04162238,0.76487019,-0.94916274,-5.59045837,-23.9816058,-15.8588192,115793302525.0732,3.8973,115793302525.07,,2025-12-28T02:34:00.000Z,,,,,,2025-12-27 18:36:10.743006
52,XRP,XRP,xrp,1775,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",100000000000.0,60572944636.0,99985740916.0,False,187472026062.7,,5,,,,2025-12-28T02:34:00.000Z,1.8749876166862562,1035349252.5522038,-48.5436,0.35942188,1.63803886,-2.45828759,-13.69613677,-28.55096507,-34.72442057,113573521098.72218,3.8226,187498761668.63,,2025-12-28T02:34:00.000Z,,,,,,2025-12-27 18:36:10.743006
3408,USDC,USDC,usd-coin,35864,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'stellar-ecosystem', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'monad-ecosystem', 'xlayer-ecosystem']",,76455109894.17961,76455109894.17961,False,76455840599.73,,6,60901219650.23,60901801702.35926,,2025-12-28T02:34:00.000Z,1.0000095573148222,3471404954.9099193,-58.946,0.03211939,0.03195502,0.01768329,0.02909587,0.007764,0.04144846,76455840599.73463,2.5733,76455840599.73,,2025-12-28T02:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-12-27 18:36:10.743006
5426,Solana,SOL,solana,1067,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,562657104.8193318,616998134.2910316,True,76633917286.24,,7,525236893.3,65236762317.09188,,2025-12-28T02:34:00.000Z,124.20445545478951,1689397500.8217068,-47.3685,0.15641908,1.66738808,-0.61557099,-10.49089369,-36.06803406,-40.96419324,69884519311.85353,2.3521,76633917286.24,,2025-12-28T02:34:00.000Z,,,,,,2025-12-27 18:36:10.743006
1958,TRON,TRX,tron,1272,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'made-in-china']",,94691655008.25627,94691649761.69438,True,26862555002.72,,8,94667886298.43,26855813676.099247,,2025-12-28T02:34:00.000Z,0.2836845178040553,452365436.0137459,5.1619,-0.17308494,1.40335653,0.54400199,1.34997074,-3.99938089,-15.48927758,26862556491.085136,0.9041,26862555002.72,,2025-12-28T02:34:00.000Z,,,,,,2025-12-27 18:36:10.743006
74,Dogecoin,DOGE,dogecoin,1361,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,168075463126.5791,168075463126.5791,True,20866693775.37,,9,,,,2025-12-28T02:34:00.000Z,0.12415074388138536,488968477.85517657,-52.0157,0.38243392,1.40996565,-5.10385906,-17.20652353,-35.93221738,-47.39930977,20866693775.37315,0.7023,20866693775.37,,2025-12-28T02:34:00.000Z,,,,,,2025-12-27 18:36:10.743006
2010,Cardano,ADA,cardano,1648,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",45000000000.0,35932600980.305725,44994430650.81588,False,16661607027.83,,10,37997904336.0,14070766998.714008,,2025-12-28T02:34:00.000Z,0.3703037639731903,403512338.1661832,-13.2746,0.52515041,5.29156911,0.4701202,-12.40741839,-42.50325296,-53.86790961,13305977392.353958,0.4478,16663669378.79,,2025-12-28T02:34:00.000Z,,,,,,2025-12-27 18:36:10.743006
